Date,Clicks,Impressions,CTR,Position
2026-04-09,0,0,,
2026-04-10,0,0,,
2026-04-11,0,1,0%,1
2026-04-12,0,0,,
2026-04-13,0,14,0%,44.5
2026-04-14,0,36,0%,43.3
2026-04-15,2,57,3.51%,21.5
2026-04-16,0,34,0%,45.6
2026-04-17,1,26,3.85%,57.5
2026-04-18,0,21,0%,29.9
2026-04-19,1,18,5.56%,65.6
2026-04-20,1,39,2.56%,50.4
2026-04-21,2,140,1.43%,26.9
2026-04-22,7,549,1.28%,21.5
2026-04-23,9,689,1.31%,21.7
2026-04-24,5,604,0.83%,23
2026-04-25,5,451,1.11%,22.4
2026-04-26,4,311,1.29%,19
2026-04-27,2,332,0.6%,16.8
2026-04-28,6,379,1.58%,14.8
2026-04-29,20,470,4.26%,13.4
2026-04-30,2,617,0.32%,23.3
2026-05-01,1,433,0.23%,13.7
2026-05-02,2,428,0.47%,13.6
2026-05-03,2,777,0.26%,12.1
2026-05-04,4,981,0.41%,11.5
2026-05-05,3,1251,0.24%,11.4
2026-05-06,14,1220,1.15%,10.9
2026-05-07,8,997,0.8%,11.3
2026-05-08,2,626,0.32%,10.2
2026-05-09,1,445,0.22%,10.9
2026-05-10,1,371,0.27%,10.5
2026-05-11,1,479,0.21%,10.3
2026-05-12,5,437,1.14%,11.1
2026-05-13,5,523,0.96%,11.9
2026-05-14,6,534,1.12%,11.3
2026-05-15,8,496,1.61%,11.4
2026-05-16,6,451,1.33%,17.6
2026-05-17,2,442,0.45%,14.8
